operation,database,entity,total_time,avg_time,record_count
insert,postgresql,users,61.2907,0.000438,140000
insert,postgresql,products,59.6518,0.000426,140000
insert,postgresql,orders,62.7115,0.000448,140000
insert,postgresql,order_items,195.0265,0.000464,419979
insert,postgresql,reviews,68.3327,0.000488,140000
read,postgresql,users,0.5277,0.000528,1000
read,postgresql,products,14.8572,0.014857,1000
read,postgresql,products_by_id,0.45,0.00045,1000
read,postgresql,orders,9.5415,0.009541,1000
read,postgresql,reviews,11.1839,0.011184,1000
update,postgresql,users,0.5368,0.000537,1000
update,postgresql,products,17.7966,0.017797,1000
update,postgresql,products_by_id,0.4625,0.000462,1000
update,postgresql,orders,0.451,0.000451,1000
update,postgresql,reviews,0.4621,0.000462,1000
complex,postgresql,popular_products,0.4347,0.434697,1
complex,postgresql,avg_product_rating,0.1474,0.147395,1
complex,postgresql,customer_spending,0.45,0.450037,1
complex,postgresql,product_search,0.0306,0.030645,1
complex,postgresql,sales_dashboard,0.118,0.118009,1
complex,postgresql,product_recommendations,0.8182,0.818151,1
complex,postgresql,join_with_comments,0.2765,0.276539,1
delete,postgresql,reviews,0.2205,0.000441,500
delete,postgresql,order_items,13.2737,0.026547,500
delete,postgresql,orders,15.4123,0.030825,500
delete,postgresql,products_by_id,21.7444,0.043489,500
delete,postgresql,users,26.8956,0.053791,500
