operation,database,entity,total_time,avg_time,record_count
insert,mariadb,users,3.1179,2.2e-05,140000
insert,mariadb,products,1.8922,1.4e-05,140000
insert,mariadb,orders,1.6775,1.2e-05,140000
insert,mariadb,order_items,6.6176,1.6e-05,419979
insert,mariadb,reviews,3.4794,2.5e-05,140000
read,mariadb,users,0.6496,0.00065,1000
read,mariadb,products,49.9993,0.049999,1000
read,mariadb,products_by_id,0.5423,0.000542,1000
read,mariadb,orders,0.6558,0.000656,1000
read,mariadb,reviews,0.5671,0.000567,1000
update,mariadb,users,0.6409,0.000641,1000
update,mariadb,products,55.4519,0.055452,1000
update,mariadb,products_by_id,0.4966,0.000497,1000
update,mariadb,orders,0.4931,0.000493,1000
update,mariadb,reviews,0.506,0.000506,1000
complex,mariadb,popular_products,4.3136,4.31358,1
complex,mariadb,avg_product_rating,1.245,1.244964,1
complex,mariadb,customer_spending,4.8491,4.849073,1
complex,mariadb,product_search,0.1536,0.153629,1
complex,mariadb,sales_dashboard,0.3225,0.322542,1
complex,mariadb,product_recommendations,3.6473,3.647301,1
complex,mariadb,join_with_comments,2.0298,2.029782,1
delete,mariadb,reviews,0.3462,0.000692,500
delete,mariadb,order_items,0.2864,0.000573,500
delete,mariadb,orders,0.263,0.000526,500
delete,mariadb,products,26.0158,0.052032,500
delete,mariadb,products_by_id,0.3133,0.000627,500
delete,mariadb,users,0.704,0.001408,500
