operation,database,entity,total_time,avg_time,record_count
insert,mongo4,users,1.9775,1.4e-05,140000
insert,mongo4,products,2.7796,2e-05,140000
insert,mongo4,orders,2.6296,1.9e-05,140000
insert,mongo4,reviews,3.1882,2.3e-05,140000
read,mongo4,users,0.8338,0.000834,1000
read,mongo4,products,3.6186,0.003619,1000
read,mongo4,products_by_id,0.8148,0.000815,1000
read,mongo4,orders,0.8744,0.000874,1000
read,mongo4,reviews,0.8347,0.000835,1000
update,mongo4,users,0.8671,0.000867,1000
update,mongo4,products,3.4418,0.003442,1000
update,mongo4,products_by_id,0.857,0.000857,1000
update,mongo4,orders,0.8315,0.000832,1000
update,mongo4,reviews,0.8491,0.000849,1000
complex,mongo4,popular_products,0.6517,0.651674,1
complex,mongo4,avg_product_rating,0.3555,0.355534,1
complex,mongo4,customer_spending,0.5173,0.517281,1
complex,mongo4,product_search,0.0534,0.053355,1
complex,mongo4,sales_dashboard,0.1914,0.19138,1
complex,mongo4,product_recommendations,1.4243,1.424282,1
complex,mongo4,join_with_comments,8.5799,8.57989,1
delete,mongo4,users,0.4049,0.00081,500
delete,mongo4,products,2.4504,0.004901,500
delete,mongo4,products_by_id,0.4001,0.0008,500
delete,mongo4,orders,0.4048,0.00081,500
delete,mongo4,reviews,0.4205,0.000841,500
