operation,database,entity,total_time,avg_time,record_count
insert,postgresql,users,92.4598,0.000462,200000
insert,postgresql,products,90.039,0.00045,200000
insert,postgresql,orders,95.538,0.000478,200000
insert,postgresql,order_items,285.3611,0.000476,600021
insert,postgresql,reviews,106.1754,0.000531,200000
read,postgresql,users,0.5303,0.00053,1000
read,postgresql,products,21.0623,0.021062,1000
read,postgresql,products_by_id,0.5538,0.000554,1000
read,postgresql,orders,13.6075,0.013608,1000
read,postgresql,reviews,16.7402,0.01674,1000
update,postgresql,users,0.6049,0.000605,1000
update,postgresql,products,27.0122,0.027012,1000
update,postgresql,products_by_id,0.5245,0.000525,1000
update,postgresql,orders,0.5103,0.00051,1000
update,postgresql,reviews,0.5114,0.000511,1000
complex,postgresql,popular_products,0.9428,0.942819,1
complex,postgresql,avg_product_rating,0.3869,0.386908,1
complex,postgresql,customer_spending,0.5162,0.516233,1
complex,postgresql,product_search,0.0442,0.044236,1
complex,postgresql,sales_dashboard,0.1151,0.115077,1
complex,postgresql,product_recommendations,1.1817,1.181718,1
complex,postgresql,join_with_comments,0.2099,0.209937,1
delete,postgresql,reviews,0.2432,0.000486,500
delete,postgresql,order_items,19.6343,0.039269,500
delete,postgresql,orders,22.5217,0.045043,500
delete,postgresql,products_by_id,32.8726,0.065745,500
delete,postgresql,users,41.4522,0.082904,500
