operation,database,entity,total_time,avg_time,record_count
insert,mysql,users,7.4388,3.7e-05,200000
insert,mysql,products,4.1878,2.1e-05,200000
insert,mysql,orders,4.1598,2.1e-05,200000
insert,mysql,order_items,17.0197,2.8e-05,600021
insert,mysql,reviews,8.1309,4.1e-05,200000
read,mysql,users,0.8445,0.000844,1000
read,mysql,products,94.195,0.094195,1000
read,mysql,products_by_id,0.6032,0.000603,1000
read,mysql,orders,0.8103,0.00081,1000
read,mysql,reviews,0.9891,0.000989,1000
update,mysql,users,1.0423,0.001042,1000
update,mysql,products,136.6986,0.136699,1000
update,mysql,products_by_id,0.7134,0.000713,1000
update,mysql,orders,0.7598,0.00076,1000
update,mysql,reviews,0.8092,0.000809,1000
complex,mysql,popular_products,1.9056,1.905609,1
complex,mysql,avg_product_rating,1.7774,1.777401,1
complex,mysql,customer_spending,5.0761,5.076075,1
complex,mysql,product_search,0.2131,0.213076,1
complex,mysql,sales_dashboard,0.5024,0.502385,1
complex,mysql,product_recommendations,6.6133,6.613307,1
complex,mysql,join_with_comments,3.069,3.069003,1
delete,mysql,reviews,0.3868,0.000774,500
delete,mysql,order_items,0.5828,0.001166,500
delete,mysql,orders,0.5161,0.001032,500
delete,mysql,products,95.0011,0.190002,500
delete,mysql,products_by_id,0.4964,0.000993,500
delete,mysql,users,1.061,0.002122,500
