operation,database,entity,total_time,avg_time,record_count
insert,mongolatest,users,2.6611,1.3e-05,200000
insert,mongolatest,products,4.4396,2.2e-05,200000
insert,mongolatest,orders,3.6317,1.8e-05,200000
insert,mongolatest,reviews,3.7732,1.9e-05,200000
read,mongolatest,users,0.8966,0.000897,1000
read,mongolatest,products,4.5072,0.004507,1000
read,mongolatest,products_by_id,0.8337,0.000834,1000
read,mongolatest,orders,0.8289,0.000829,1000
read,mongolatest,reviews,0.8491,0.000849,1000
update,mongolatest,users,0.8604,0.00086,1000
update,mongolatest,products,4.3024,0.004302,1000
update,mongolatest,products_by_id,0.8134,0.000813,1000
update,mongolatest,orders,0.8285,0.000828,1000
update,mongolatest,reviews,0.8692,0.000869,1000
complex,mongolatest,popular_products,0.9237,0.923712,1
complex,mongolatest,avg_product_rating,0.6037,0.603708,1
complex,mongolatest,customer_spending,0.7923,0.792258,1
complex,mongolatest,product_search,0.0767,0.076732,1
complex,mongolatest,sales_dashboard,0.2579,0.25786,1
complex,mongolatest,product_recommendations,1.6868,1.68684,1
complex,mongolatest,join_with_comments,16.0999,16.09994,1
delete,mongolatest,users,0.4346,0.000869,500
delete,mongolatest,products,2.745,0.00549,500
delete,mongolatest,products_by_id,0.4116,0.000823,500
delete,mongolatest,orders,0.4293,0.000859,500
delete,mongolatest,reviews,0.4374,0.000875,500
