operation,database,entity,total_time,avg_time,record_count
insert,mongo4,users,2.8783,1.4e-05,200000
insert,mongo4,products,4.6445,2.3e-05,200000
insert,mongo4,orders,3.7623,1.9e-05,200000
insert,mongo4,reviews,4.43,2.2e-05,200000
read,mongo4,users,0.8561,0.000856,1000
read,mongo4,products,4.4051,0.004405,1000
read,mongo4,products_by_id,0.742,0.000742,1000
read,mongo4,orders,0.8112,0.000811,1000
read,mongo4,reviews,0.7738,0.000774,1000
update,mongo4,users,0.8092,0.000809,1000
update,mongo4,products,4.4163,0.004416,1000
update,mongo4,products_by_id,0.7808,0.000781,1000
update,mongo4,orders,0.7935,0.000794,1000
update,mongo4,reviews,0.7971,0.000797,1000
complex,mongo4,popular_products,1.0202,1.02021,1
complex,mongo4,avg_product_rating,0.5398,0.539791,1
complex,mongo4,customer_spending,0.7521,0.752073,1
complex,mongo4,product_search,0.0746,0.074629,1
complex,mongo4,sales_dashboard,0.2749,0.27487,1
complex,mongo4,product_recommendations,2.1354,2.135444,1
complex,mongo4,join_with_comments,12.1412,12.141248,1
delete,mongo4,users,0.4325,0.000865,500
delete,mongo4,products,3.4022,0.006804,500
delete,mongo4,products_by_id,0.3738,0.000748,500
delete,mongo4,orders,0.413,0.000826,500
delete,mongo4,reviews,0.4068,0.000814,500
