operation,database,entity,total_time,avg_time,record_count
insert,mariadb,users,4.8041,2.4e-05,200000
insert,mariadb,products,2.7828,1.4e-05,200000
insert,mariadb,orders,3.2358,1.6e-05,200000
insert,mariadb,order_items,10.9489,1.8e-05,600021
insert,mariadb,reviews,5.8812,2.9e-05,200000
read,mariadb,users,0.7751,0.000775,1000
read,mariadb,products,77.5258,0.077526,1000
read,mariadb,products_by_id,0.5986,0.000599,1000
read,mariadb,orders,0.7917,0.000792,1000
read,mariadb,reviews,0.6425,0.000642,1000
update,mariadb,users,0.8381,0.000838,1000
update,mariadb,products,88.1816,0.088182,1000
update,mariadb,products_by_id,0.5736,0.000574,1000
update,mariadb,orders,0.6026,0.000603,1000
update,mariadb,reviews,0.6001,0.0006,1000
complex,mariadb,popular_products,7.1286,7.128637,1
complex,mariadb,avg_product_rating,2.3969,2.396931,1
complex,mariadb,customer_spending,8.7912,8.791155,1
complex,mariadb,product_search,0.5981,0.598089,1
complex,mariadb,sales_dashboard,0.5118,0.511766,1
complex,mariadb,product_recommendations,6.5828,6.582793,1
complex,mariadb,join_with_comments,6.2657,6.265694,1
delete,mariadb,reviews,0.3467,0.000693,500
delete,mariadb,order_items,0.6322,0.001264,500
delete,mariadb,orders,0.6263,0.001253,500
delete,mariadb,products,87.5002,0.175,500
delete,mariadb,products_by_id,0.4308,0.000862,500
delete,mariadb,users,1.1821,0.002364,500
