operation,database,entity,total_time,avg_time,record_count
insert,mongo4,users,0.9923,1.2e-05,80000
insert,mongo4,products,1.6969,2.1e-05,80000
insert,mongo4,orders,1.4802,1.9e-05,80000
insert,mongo4,reviews,1.4163,1.8e-05,80000
read,mongo4,users,0.9888,0.000989,1000
read,mongo4,products,2.7118,0.002712,1000
read,mongo4,products_by_id,0.7117,0.000712,1000
read,mongo4,orders,0.7976,0.000798,1000
read,mongo4,reviews,0.8017,0.000802,1000
update,mongo4,users,0.7546,0.000755,1000
update,mongo4,products,2.1728,0.002173,1000
update,mongo4,products_by_id,0.7799,0.00078,1000
update,mongo4,orders,0.7338,0.000734,1000
update,mongo4,reviews,0.7724,0.000772,1000
complex,mongo4,popular_products,0.3515,0.351534,1
complex,mongo4,avg_product_rating,0.1821,0.182118,1
complex,mongo4,customer_spending,0.2793,0.279311,1
complex,mongo4,product_search,0.0278,0.02781,1
complex,mongo4,sales_dashboard,0.1084,0.108358,1
complex,mongo4,product_recommendations,0.69,0.690037,1
complex,mongo4,join_with_comments,4.7282,4.728183,1
delete,mongo4,users,0.362,0.000724,500
delete,mongo4,products,1.4954,0.002991,500
delete,mongo4,products_by_id,0.3674,0.000735,500
delete,mongo4,orders,0.4075,0.000815,500
delete,mongo4,reviews,0.3989,0.000798,500
