operation,database,entity,total_time,avg_time,record_count
insert,mariadb,users,1.6086,2e-05,80000
insert,mariadb,products,1.033,1.3e-05,80000
insert,mariadb,orders,1.0076,1.3e-05,80000
insert,mariadb,order_items,3.8637,1.6e-05,240321
insert,mariadb,reviews,1.774,2.2e-05,80000
read,mariadb,users,0.5832,0.000583,1000
read,mariadb,products,30.1888,0.030189,1000
read,mariadb,products_by_id,0.5575,0.000557,1000
read,mariadb,orders,0.6189,0.000619,1000
read,mariadb,reviews,0.5962,0.000596,1000
update,mariadb,users,0.5455,0.000546,1000
update,mariadb,products,33.9486,0.033949,1000
update,mariadb,products_by_id,0.5487,0.000549,1000
update,mariadb,orders,0.5402,0.00054,1000
update,mariadb,reviews,0.5386,0.000539,1000
complex,mariadb,popular_products,1.8284,1.828374,1
complex,mariadb,avg_product_rating,0.506,0.506018,1
complex,mariadb,customer_spending,1.5737,1.573742,1
complex,mariadb,product_search,0.0841,0.084101,1
complex,mariadb,sales_dashboard,0.1627,0.162663,1
complex,mariadb,product_recommendations,1.3928,1.392751,1
complex,mariadb,join_with_comments,1.171,1.170958,1
delete,mariadb,reviews,0.2632,0.000526,500
delete,mariadb,order_items,0.297,0.000594,500
delete,mariadb,orders,0.3084,0.000617,500
delete,mariadb,products,16.8492,0.033698,500
delete,mariadb,products_by_id,0.3086,0.000617,500
delete,mariadb,users,0.4121,0.000824,500
