operation,database,entity,total_time,avg_time,record_count
insert,mongolatest,users,1.047,1.3e-05,80000
insert,mongolatest,products,1.6357,2e-05,80000
insert,mongolatest,orders,1.5255,1.9e-05,80000
insert,mongolatest,reviews,1.4863,1.9e-05,80000
read,mongolatest,users,0.848,0.000848,1000
read,mongolatest,products,2.8392,0.002839,1000
read,mongolatest,products_by_id,0.8541,0.000854,1000
read,mongolatest,orders,0.7739,0.000774,1000
read,mongolatest,reviews,0.7491,0.000749,1000
update,mongolatest,users,0.8434,0.000843,1000
update,mongolatest,products,2.2862,0.002286,1000
update,mongolatest,products_by_id,0.7997,0.0008,1000
update,mongolatest,orders,0.8905,0.00089,1000
update,mongolatest,reviews,0.9336,0.000934,1000
complex,mongolatest,popular_products,0.3785,0.378469,1
complex,mongolatest,avg_product_rating,0.2232,0.223238,1
complex,mongolatest,customer_spending,0.3016,0.301576,1
complex,mongolatest,product_search,0.03,0.030024,1
complex,mongolatest,sales_dashboard,0.1089,0.108925,1
complex,mongolatest,product_recommendations,0.6244,0.624443,1
complex,mongolatest,join_with_comments,6.5102,6.510238,1
delete,mongolatest,users,0.4107,0.000821,500
delete,mongolatest,products,1.5796,0.003159,500
delete,mongolatest,products_by_id,0.425,0.00085,500
delete,mongolatest,orders,0.4144,0.000829,500
delete,mongolatest,reviews,0.3937,0.000787,500
