operation,database,entity,total_time,avg_time,record_count
insert,mysql,users,2.5689,3.2e-05,80000
insert,mysql,products,1.4338,1.8e-05,80000
insert,mysql,orders,1.5303,1.9e-05,80000
insert,mysql,order_items,5.2715,2.2e-05,240321
insert,mysql,reviews,2.5403,3.2e-05,80000
read,mysql,users,0.6904,0.00069,1000
read,mysql,products,38.9509,0.038951,1000
read,mysql,products_by_id,0.5576,0.000558,1000
read,mysql,orders,0.5952,0.000595,1000
read,mysql,reviews,0.6035,0.000604,1000
update,mysql,users,0.5915,0.000592,1000
update,mysql,products,55.573,0.055573,1000
update,mysql,products_by_id,0.5994,0.000599,1000
update,mysql,orders,0.6004,0.0006,1000
update,mysql,reviews,0.5949,0.000595,1000
complex,mysql,popular_products,0.4405,0.44051,1
complex,mysql,avg_product_rating,0.2831,0.283092,1
complex,mysql,customer_spending,0.9403,0.940263,1
complex,mysql,product_search,0.074,0.073966,1
complex,mysql,sales_dashboard,0.1315,0.131482,1
complex,mysql,product_recommendations,2.2198,2.219775,1
complex,mysql,join_with_comments,0.881,0.881037,1
delete,mysql,reviews,0.3131,0.000626,500
delete,mysql,order_items,0.3907,0.000781,500
delete,mysql,orders,0.3561,0.000712,500
delete,mysql,products,27.5688,0.055138,500
delete,mysql,products_by_id,0.297,0.000594,500
delete,mysql,users,0.612,0.001224,500
