operation,database,entity,total_time,avg_time,record_count
insert,mongo4,users,0.4678,1.2e-05,40000
insert,mongo4,products,0.753,1.9e-05,40000
insert,mongo4,orders,0.7074,1.8e-05,40000
insert,mongo4,reviews,0.7604,1.9e-05,40000
read,mongo4,users,0.7891,0.000789,1000
read,mongo4,products,1.4752,0.001475,1000
read,mongo4,products_by_id,0.7212,0.000721,1000
read,mongo4,orders,0.7678,0.000768,1000
read,mongo4,reviews,0.81,0.00081,1000
update,mongo4,users,0.7905,0.00079,1000
update,mongo4,products,1.5996,0.0016,1000
update,mongo4,products_by_id,0.7548,0.000755,1000
update,mongo4,orders,0.7969,0.000797,1000
update,mongo4,reviews,0.7592,0.000759,1000
complex,mongo4,popular_products,0.1485,0.148463,1
complex,mongo4,avg_product_rating,0.0876,0.087629,1
complex,mongo4,customer_spending,0.127,0.127029,1
complex,mongo4,product_search,0.0169,0.016871,1
complex,mongo4,sales_dashboard,0.0458,0.045843,1
complex,mongo4,product_recommendations,0.3373,0.337281,1
complex,mongo4,join_with_comments,2.2692,2.26922,1
delete,mongo4,users,0.3721,0.000744,500
delete,mongo4,products,1.1326,0.002265,500
delete,mongo4,products_by_id,0.3818,0.000764,500
delete,mongo4,orders,0.376,0.000752,500
delete,mongo4,reviews,0.394,0.000788,500
