operation,database,entity,total_time,avg_time,record_count
insert,postgresql,users,18.8786,0.000472,40000
insert,postgresql,products,18.4317,0.000461,40000
insert,postgresql,orders,18.2056,0.000455,40000
insert,postgresql,order_items,58.0853,0.000485,119731
insert,postgresql,reviews,20.0233,0.000501,40000
read,postgresql,users,0.4815,0.000481,1000
read,postgresql,products,3.8328,0.003833,1000
read,postgresql,products_by_id,0.4677,0.000468,1000
read,postgresql,orders,3.0344,0.003034,1000
read,postgresql,reviews,3.0967,0.003097,1000
update,postgresql,users,0.5183,0.000518,1000
update,postgresql,products,5.4543,0.005454,1000
update,postgresql,products_by_id,0.4682,0.000468,1000
update,postgresql,orders,0.456,0.000456,1000
update,postgresql,reviews,0.4647,0.000465,1000
complex,postgresql,popular_products,0.0968,0.096773,1
complex,postgresql,avg_product_rating,0.0528,0.052788,1
complex,postgresql,customer_spending,0.1515,0.151528,1
complex,postgresql,product_search,0.0101,0.010084,1
complex,postgresql,sales_dashboard,0.0315,0.031475,1
complex,postgresql,product_recommendations,0.2059,0.205895,1
complex,postgresql,join_with_comments,0.0825,0.082535,1
delete,postgresql,reviews,0.2249,0.00045,500
delete,postgresql,order_items,4.1795,0.008359,500
delete,postgresql,orders,5.7935,0.011587,500
delete,postgresql,products,230.901,0.461802,500
delete,postgresql,products_by_id,2.52,0.00504,500
delete,postgresql,users,6.0494,0.012099,500
