operation,database,entity,total_time,avg_time,record_count
insert,mongolatest,users,0.4267,1.1e-05,40000
insert,mongolatest,products,0.7193,1.8e-05,40000
insert,mongolatest,orders,0.5911,1.5e-05,40000
insert,mongolatest,reviews,0.6978,1.7e-05,40000
read,mongolatest,users,0.8197,0.00082,1000
read,mongolatest,products,1.4181,0.001418,1000
read,mongolatest,products_by_id,0.8078,0.000808,1000
read,mongolatest,orders,0.7872,0.000787,1000
read,mongolatest,reviews,0.7577,0.000758,1000
update,mongolatest,users,0.8631,0.000863,1000
update,mongolatest,products,1.6102,0.00161,1000
update,mongolatest,products_by_id,0.8723,0.000872,1000
update,mongolatest,orders,0.7766,0.000777,1000
update,mongolatest,reviews,0.7849,0.000785,1000
complex,mongolatest,popular_products,0.1459,0.145918,1
complex,mongolatest,avg_product_rating,0.0943,0.094268,1
complex,mongolatest,customer_spending,0.1312,0.131207,1
complex,mongolatest,product_search,0.017,0.017031,1
complex,mongolatest,sales_dashboard,0.0466,0.046554,1
complex,mongolatest,product_recommendations,0.3021,0.302139,1
complex,mongolatest,join_with_comments,3.1536,3.153636,1
delete,mongolatest,users,0.383,0.000766,500
delete,mongolatest,products,1.0634,0.002127,500
delete,mongolatest,products_by_id,0.3961,0.000792,500
delete,mongolatest,orders,0.3856,0.000771,500
delete,mongolatest,reviews,0.3892,0.000778,500
