operation,database,entity,total_time,avg_time,record_count
insert,mysql,users,5.0424,3.2e-05,160000
insert,mysql,products,2.8153,1.8e-05,160000
insert,mysql,orders,3.0344,1.9e-05,160000
insert,mysql,order_items,11.3493,2.4e-05,479981
insert,mysql,reviews,5.4377,3.4e-05,160000
read,mysql,users,0.7688,0.000769,1000
read,mysql,products,73.0127,0.073013,1000
read,mysql,products_by_id,0.5758,0.000576,1000
read,mysql,orders,0.7468,0.000747,1000
read,mysql,reviews,0.7826,0.000783,1000
update,mysql,users,0.7421,0.000742,1000
update,mysql,products,102.8529,0.102853,1000
update,mysql,products_by_id,0.5392,0.000539,1000
update,mysql,orders,0.5907,0.000591,1000
update,mysql,reviews,0.5737,0.000574,1000
complex,mysql,popular_products,1.2843,1.284336,1
complex,mysql,avg_product_rating,1.0859,1.085887,1
complex,mysql,customer_spending,3.092,3.091969,1
complex,mysql,product_search,0.1499,0.149916,1
complex,mysql,sales_dashboard,0.3653,0.365329,1
complex,mysql,product_recommendations,5.0673,5.067322,1
complex,mysql,join_with_comments,3.6586,3.658578,1
delete,mysql,reviews,0.3529,0.000706,500
delete,mysql,order_items,0.3598,0.00072,500
delete,mysql,orders,0.4429,0.000886,500
delete,mysql,products,53.1161,0.106232,500
delete,mysql,products_by_id,0.3026,0.000605,500
delete,mysql,users,0.799,0.001598,500
