operation,database,entity,total_time,avg_time,record_count
insert,mongolatest,users,2.2819,1.4e-05,160000
insert,mongolatest,products,3.3406,2.1e-05,160000
insert,mongolatest,orders,2.9252,1.8e-05,160000
insert,mongolatest,reviews,3.485,2.2e-05,160000
read,mongolatest,users,0.8205,0.000821,1000
read,mongolatest,products,4.0079,0.004008,1000
read,mongolatest,products_by_id,0.8496,0.00085,1000
read,mongolatest,orders,0.885,0.000885,1000
read,mongolatest,reviews,0.8601,0.00086,1000
update,mongolatest,users,0.9326,0.000933,1000
update,mongolatest,products,3.866,0.003866,1000
update,mongolatest,products_by_id,0.9115,0.000912,1000
update,mongolatest,orders,0.8394,0.000839,1000
update,mongolatest,reviews,0.8519,0.000852,1000
complex,mongolatest,popular_products,0.7669,0.766924,1
complex,mongolatest,avg_product_rating,0.4319,0.431946,1
complex,mongolatest,customer_spending,0.5684,0.568373,1
complex,mongolatest,product_search,0.0561,0.056093,1
complex,mongolatest,sales_dashboard,0.1909,0.190918,1
complex,mongolatest,product_recommendations,1.4165,1.416465,1
complex,mongolatest,join_with_comments,12.7137,12.713665,1
delete,mongolatest,users,0.4358,0.000872,500
delete,mongolatest,products,2.4926,0.004985,500
delete,mongolatest,products_by_id,0.4443,0.000889,500
delete,mongolatest,orders,0.4181,0.000836,500
delete,mongolatest,reviews,0.4673,0.000935,500
