operation,database,entity,total_time,avg_time,record_count
insert,postgresql,users,70.1535,0.000438,160000
insert,postgresql,products,68.0036,0.000425,160000
insert,postgresql,orders,71.9304,0.00045,160000
insert,postgresql,order_items,222.6487,0.000464,479981
insert,postgresql,reviews,77.0246,0.000481,160000
read,postgresql,users,0.4608,0.000461,1000
read,postgresql,products,14.8959,0.014896,1000
read,postgresql,products_by_id,0.4708,0.000471,1000
read,postgresql,orders,11.8833,0.011883,1000
read,postgresql,reviews,12.8867,0.012887,1000
update,postgresql,users,0.5133,0.000513,1000
update,postgresql,products,19.4287,0.019429,1000
update,postgresql,products_by_id,0.4502,0.00045,1000
update,postgresql,orders,0.4519,0.000452,1000
update,postgresql,reviews,0.468,0.000468,1000
complex,postgresql,popular_products,0.4738,0.473837,1
complex,postgresql,avg_product_rating,0.2271,0.227072,1
complex,postgresql,customer_spending,0.4523,0.45226,1
complex,postgresql,product_search,0.0243,0.024273,1
complex,postgresql,sales_dashboard,0.1002,0.100222,1
complex,postgresql,product_recommendations,0.9693,0.969269,1
complex,postgresql,join_with_comments,0.2491,0.249079,1
delete,postgresql,reviews,0.2143,0.000429,500
delete,postgresql,order_items,15.2423,0.030485,500
delete,postgresql,orders,17.0486,0.034097,500
delete,postgresql,products_by_id,24.6375,0.049275,500
delete,postgresql,users,30.7558,0.061512,500
