operation,database,entity,total_time,avg_time,record_count
insert,mongo4,users,2.3383,1.5e-05,160000
insert,mongo4,products,3.2714,2e-05,160000
insert,mongo4,orders,3.1094,1.9e-05,160000
insert,mongo4,reviews,3.7046,2.3e-05,160000
read,mongo4,users,0.8256,0.000826,1000
read,mongo4,products,4.0805,0.00408,1000
read,mongo4,products_by_id,0.8734,0.000873,1000
read,mongo4,orders,0.8465,0.000847,1000
read,mongo4,reviews,0.7836,0.000784,1000
update,mongo4,users,0.8562,0.000856,1000
update,mongo4,products,3.8189,0.003819,1000
update,mongo4,products_by_id,0.8206,0.000821,1000
update,mongo4,orders,0.7971,0.000797,1000
update,mongo4,reviews,0.8059,0.000806,1000
complex,mongo4,popular_products,0.7885,0.788532,1
complex,mongo4,avg_product_rating,0.4191,0.419084,1
complex,mongo4,customer_spending,0.5768,0.576788,1
complex,mongo4,product_search,0.0566,0.056559,1
complex,mongo4,sales_dashboard,0.2109,0.210876,1
complex,mongo4,product_recommendations,1.714,1.713989,1
complex,mongo4,join_with_comments,9.9906,9.990607,1
delete,mongo4,users,0.4031,0.000806,500
delete,mongo4,products,2.9753,0.005951,500
delete,mongo4,products_by_id,0.4581,0.000916,500
delete,mongo4,orders,0.4205,0.000841,500
delete,mongo4,reviews,0.4147,0.000829,500
