operation,database,entity,total_time,avg_time,record_count
insert,mongolatest,users,0.2133,1.1e-05,20000
insert,mongolatest,products,0.2939,1.5e-05,20000
insert,mongolatest,orders,0.3571,1.8e-05,20000
insert,mongolatest,reviews,0.3023,1.5e-05,20000
read,mongolatest,users,0.8463,0.000846,1000
read,mongolatest,products,1.1666,0.001167,1000
read,mongolatest,products_by_id,0.7782,0.000778,1000
read,mongolatest,orders,0.7868,0.000787,1000
read,mongolatest,reviews,0.8244,0.000824,1000
update,mongolatest,users,0.8265,0.000827,1000
update,mongolatest,products,1.2025,0.001202,1000
update,mongolatest,products_by_id,0.8127,0.000813,1000
update,mongolatest,orders,0.7917,0.000792,1000
update,mongolatest,reviews,0.8453,0.000845,1000
complex,mongolatest,popular_products,0.0642,0.064241,1
complex,mongolatest,avg_product_rating,0.0467,0.04669,1
complex,mongolatest,customer_spending,0.0643,0.064269,1
complex,mongolatest,product_search,0.0103,0.010343,1
complex,mongolatest,sales_dashboard,0.0249,0.024912,1
complex,mongolatest,product_recommendations,0.123,0.122964,1
complex,mongolatest,join_with_comments,1.5793,1.579274,1
delete,mongolatest,users,0.4374,0.000875,500
delete,mongolatest,products,0.6993,0.001399,500
delete,mongolatest,products_by_id,0.4041,0.000808,500
delete,mongolatest,orders,0.401,0.000802,500
delete,mongolatest,reviews,0.4154,0.000831,500
