operation,database,entity,total_time,avg_time,record_count
insert,mariadb,users,0.3416,1.7e-05,20000
insert,mariadb,products,0.2538,1.3e-05,20000
insert,mariadb,orders,0.2783,1.4e-05,20000
insert,mariadb,order_items,0.9082,1.5e-05,60136
insert,mariadb,reviews,0.4571,2.3e-05,20000
read,mariadb,users,0.5842,0.000584,1000
read,mariadb,products,7.1562,0.007156,1000
read,mariadb,products_by_id,0.5503,0.00055,1000
read,mariadb,orders,0.5695,0.00057,1000
read,mariadb,reviews,0.5918,0.000592,1000
update,mariadb,users,0.5438,0.000544,1000
update,mariadb,products,8.7281,0.008728,1000
update,mariadb,products_by_id,0.5172,0.000517,1000
update,mariadb,orders,0.517,0.000517,1000
update,mariadb,reviews,0.5037,0.000504,1000
complex,mariadb,popular_products,0.075,0.075012,1
complex,mariadb,avg_product_rating,0.0464,0.046439,1
complex,mariadb,customer_spending,0.158,0.157954,1
complex,mariadb,product_search,0.0208,0.020791,1
complex,mariadb,sales_dashboard,0.0283,0.028271,1
complex,mariadb,product_recommendations,0.2607,0.260746,1
complex,mariadb,join_with_comments,0.1934,0.193444,1
delete,mariadb,reviews,0.2583,0.000517,500
delete,mariadb,order_items,0.2566,0.000513,500
delete,mariadb,orders,0.2648,0.00053,500
delete,mariadb,products,3.6954,0.007391,500
delete,mariadb,products_by_id,0.2782,0.000556,500
delete,mariadb,users,0.3043,0.000609,500
