operation,database,entity,total_time,avg_time,record_count
insert,postgresql,users,8.7799,0.000439,20000
insert,postgresql,products,9.0284,0.000451,20000
insert,postgresql,orders,9.941,0.000497,20000
insert,postgresql,order_items,28.3395,0.000471,60136
insert,postgresql,reviews,9.4414,0.000472,20000
read,postgresql,users,0.4575,0.000457,1000
read,postgresql,products,2.2886,0.002289,1000
read,postgresql,products_by_id,0.4845,0.000484,1000
read,postgresql,orders,2.0056,0.002006,1000
read,postgresql,reviews,2.1286,0.002129,1000
update,postgresql,users,0.4759,0.000476,1000
update,postgresql,products,2.6783,0.002678,1000
update,postgresql,products_by_id,0.4434,0.000443,1000
update,postgresql,orders,0.4498,0.00045,1000
update,postgresql,reviews,0.4889,0.000489,1000
complex,postgresql,popular_products,0.0443,0.044274,1
complex,postgresql,avg_product_rating,0.0227,0.022741,1
complex,postgresql,customer_spending,0.0631,0.063091,1
complex,postgresql,product_search,0.0057,0.005727,1
complex,postgresql,sales_dashboard,0.018,0.018006,1
complex,postgresql,product_recommendations,0.3048,0.304831,1
complex,postgresql,join_with_comments,0.0433,0.043255,1
delete,postgresql,reviews,0.2335,0.000467,500
delete,postgresql,order_items,3.4835,0.006967,500
delete,postgresql,orders,2.589,0.005178,500
delete,postgresql,products,57.9422,0.115884,500
delete,postgresql,products_by_id,1.2997,0.002599,500
delete,postgresql,users,3.0462,0.006092,500
