operation,database,entity,total_time,avg_time,record_count
insert,mongo4,users,0.2398,1.2e-05,20000
insert,mongo4,products,0.3052,1.5e-05,20000
insert,mongo4,orders,0.3169,1.6e-05,20000
insert,mongo4,reviews,0.3052,1.5e-05,20000
read,mongo4,users,0.7283,0.000728,1000
read,mongo4,products,1.102,0.001102,1000
read,mongo4,products_by_id,0.7378,0.000738,1000
read,mongo4,orders,0.8321,0.000832,1000
read,mongo4,reviews,0.7467,0.000747,1000
update,mongo4,users,0.7912,0.000791,1000
update,mongo4,products,1.1625,0.001163,1000
update,mongo4,products_by_id,0.7384,0.000738,1000
update,mongo4,orders,0.7456,0.000746,1000
update,mongo4,reviews,0.838,0.000838,1000
complex,mongo4,popular_products,0.0928,0.092793,1
complex,mongo4,avg_product_rating,0.0437,0.043742,1
complex,mongo4,customer_spending,0.062,0.061957,1
complex,mongo4,product_search,0.011,0.011001,1
complex,mongo4,sales_dashboard,0.0242,0.024209,1
complex,mongo4,product_recommendations,0.1828,0.182793,1
complex,mongo4,join_with_comments,1.2005,1.200532,1
delete,mongo4,users,0.4137,0.000827,500
delete,mongo4,products,0.8539,0.001708,500
delete,mongo4,products_by_id,0.4188,0.000838,500
delete,mongo4,orders,0.4333,0.000867,500
delete,mongo4,reviews,0.4484,0.000897,500
