operation,database,entity,total_time,avg_time,record_count
insert,mysql,users,0.5509,2.8e-05,20000
insert,mysql,products,0.3625,1.8e-05,20000
insert,mysql,orders,0.3844,1.9e-05,20000
insert,mysql,order_items,1.1771,2e-05,60136
insert,mysql,reviews,0.5959,3e-05,20000
read,mysql,users,0.568,0.000568,1000
read,mysql,products,10.4385,0.010438,1000
read,mysql,products_by_id,0.5784,0.000578,1000
read,mysql,orders,0.5927,0.000593,1000
read,mysql,reviews,0.6082,0.000608,1000
update,mysql,users,0.5783,0.000578,1000
update,mysql,products,15.287,0.015287,1000
update,mysql,products_by_id,0.5512,0.000551,1000
update,mysql,orders,0.5652,0.000565,1000
update,mysql,reviews,0.5251,0.000525,1000
complex,mysql,popular_products,0.0828,0.082826,1
complex,mysql,avg_product_rating,0.0643,0.064296,1
complex,mysql,customer_spending,0.1742,0.174225,1
complex,mysql,product_search,0.0287,0.028745,1
complex,mysql,sales_dashboard,0.0359,0.035905,1
complex,mysql,product_recommendations,0.3381,0.33813,1
complex,mysql,join_with_comments,0.2155,0.215491,1
delete,mysql,reviews,0.2567,0.000513,500
delete,mysql,order_items,0.2695,0.000539,500
delete,mysql,orders,0.2894,0.000579,500
delete,mysql,products,6.668,0.013336,500
delete,mysql,products_by_id,0.274,0.000548,500
delete,mysql,users,0.3174,0.000635,500
