operation,database,entity,total_time,avg_time,record_count
insert,mongo4,users,1.7613,1.5e-05,120000
insert,mongo4,products,2.5716,2.1e-05,120000
insert,mongo4,orders,2.2628,1.9e-05,120000
insert,mongo4,reviews,2.4219,2e-05,120000
read,mongo4,users,0.8068,0.000807,1000
read,mongo4,products,3.3339,0.003334,1000
read,mongo4,products_by_id,0.7784,0.000778,1000
read,mongo4,orders,0.798,0.000798,1000
read,mongo4,reviews,0.8734,0.000873,1000
update,mongo4,users,0.8415,0.000842,1000
update,mongo4,products,3.0869,0.003087,1000
update,mongo4,products_by_id,0.8317,0.000832,1000
update,mongo4,orders,0.8157,0.000816,1000
update,mongo4,reviews,0.7923,0.000792,1000
complex,mongo4,popular_products,0.5198,0.519769,1
complex,mongo4,avg_product_rating,0.3295,0.32946,1
complex,mongo4,customer_spending,0.4253,0.425276,1
complex,mongo4,product_search,0.0435,0.043482,1
complex,mongo4,sales_dashboard,0.1633,0.163265,1
complex,mongo4,product_recommendations,1.1584,1.158392,1
complex,mongo4,join_with_comments,7.4418,7.441768,1
delete,mongo4,users,0.4112,0.000822,500
delete,mongo4,products,2.2665,0.004533,500
delete,mongo4,products_by_id,0.4099,0.00082,500
delete,mongo4,orders,0.3994,0.000799,500
delete,mongo4,reviews,0.4441,0.000888,500
