operation,database,entity,total_time,avg_time,record_count
insert,mysql,users,3.6975,3.1e-05,120000
insert,mysql,products,2.148,1.8e-05,120000
insert,mysql,orders,2.1652,1.8e-05,120000
insert,mysql,order_items,7.9696,2.2e-05,361278
insert,mysql,reviews,3.9109,3.3e-05,120000
read,mysql,users,0.6625,0.000662,1000
read,mysql,products,55.0051,0.055005,1000
read,mysql,products_by_id,0.583,0.000583,1000
read,mysql,orders,0.684,0.000684,1000
read,mysql,reviews,0.7014,0.000701,1000
update,mysql,users,0.6356,0.000636,1000
update,mysql,products,76.9371,0.076937,1000
update,mysql,products_by_id,0.5645,0.000564,1000
update,mysql,orders,0.5457,0.000546,1000
update,mysql,reviews,0.5358,0.000536,1000
complex,mysql,popular_products,0.7424,0.742446,1
complex,mysql,avg_product_rating,0.5652,0.565212,1
complex,mysql,customer_spending,1.4877,1.487684,1
complex,mysql,product_search,0.1137,0.113674,1
complex,mysql,sales_dashboard,0.2222,0.22224,1
complex,mysql,product_recommendations,3.4549,3.454879,1
complex,mysql,join_with_comments,1.1076,1.107582,1
delete,mysql,reviews,0.3263,0.000653,500
delete,mysql,order_items,0.3472,0.000694,500
delete,mysql,orders,0.3581,0.000716,500
delete,mysql,products,38.0905,0.076181,500
delete,mysql,products_by_id,0.3007,0.000601,500
delete,mysql,users,0.5459,0.001092,500
