operation,database,entity,total_time,avg_time,record_count
insert,mariadb,users,2.4307,2e-05,120000
insert,mariadb,products,1.5473,1.3e-05,120000
insert,mariadb,orders,1.4139,1.2e-05,120000
insert,mariadb,order_items,5.6763,1.6e-05,361278
insert,mariadb,reviews,2.8752,2.4e-05,120000
read,mariadb,users,0.654,0.000654,1000
read,mariadb,products,44.999,0.044999,1000
read,mariadb,products_by_id,0.5738,0.000574,1000
read,mariadb,orders,0.6652,0.000665,1000
read,mariadb,reviews,0.5974,0.000597,1000
update,mariadb,users,0.6268,0.000627,1000
update,mariadb,products,49.3618,0.049362,1000
update,mariadb,products_by_id,0.4899,0.00049,1000
update,mariadb,orders,0.533,0.000533,1000
update,mariadb,reviews,0.5066,0.000507,1000
complex,mariadb,popular_products,3.4284,3.428381,1
complex,mariadb,avg_product_rating,1.0303,1.03029,1
complex,mariadb,customer_spending,3.455,3.455,1
complex,mariadb,product_search,0.1382,0.138186,1
complex,mariadb,sales_dashboard,0.2475,0.247458,1
complex,mariadb,product_recommendations,2.7027,2.702698,1
complex,mariadb,join_with_comments,1.4094,1.409436,1
delete,mariadb,reviews,0.271,0.000542,500
delete,mariadb,order_items,0.3,0.0006,500
delete,mariadb,orders,0.2951,0.00059,500
delete,mariadb,products,22.4728,0.044946,500
delete,mariadb,products_by_id,0.2643,0.000529,500
delete,mariadb,users,0.45,0.0009,500
