operation,database,entity,total_time,avg_time,record_count
insert,mongo4,users,2.52,1.4e-05,180000
insert,mongo4,products,3.7364,2.1e-05,180000
insert,mongo4,orders,3.906,2.2e-05,180000
insert,mongo4,reviews,3.6482,2e-05,180000
read,mongo4,users,0.7706,0.000771,1000
read,mongo4,products,4.2035,0.004204,1000
read,mongo4,products_by_id,0.7835,0.000784,1000
read,mongo4,orders,0.8885,0.000889,1000
read,mongo4,reviews,0.8257,0.000826,1000
update,mongo4,users,0.8317,0.000832,1000
update,mongo4,products,3.9399,0.00394,1000
update,mongo4,products_by_id,0.8535,0.000853,1000
update,mongo4,orders,0.8401,0.00084,1000
update,mongo4,reviews,0.8849,0.000885,1000
complex,mongo4,popular_products,0.9347,0.934678,1
complex,mongo4,avg_product_rating,0.4894,0.489406,1
complex,mongo4,customer_spending,0.6559,0.655918,1
complex,mongo4,product_search,0.066,0.066041,1
complex,mongo4,sales_dashboard,0.2428,0.242824,1
complex,mongo4,product_recommendations,1.8654,1.865358,1
complex,mongo4,join_with_comments,10.8131,10.813064,1
delete,mongo4,users,0.4023,0.000805,500
delete,mongo4,products,3.0753,0.006151,500
delete,mongo4,products_by_id,0.3784,0.000757,500
delete,mongo4,orders,0.4092,0.000818,500
delete,mongo4,reviews,0.4331,0.000866,500
