operation,database,entity,total_time,avg_time,record_count
insert,mariadb,users,4.0436,2.2e-05,180000
insert,mariadb,products,2.3995,1.3e-05,180000
insert,mariadb,orders,2.7065,1.5e-05,180000
insert,mariadb,order_items,9.9273,1.8e-05,539441
insert,mariadb,reviews,4.9427,2.7e-05,180000
read,mariadb,users,0.7934,0.000793,1000
read,mariadb,products,70.1836,0.070184,1000
read,mariadb,products_by_id,0.567,0.000567,1000
read,mariadb,orders,0.7711,0.000771,1000
read,mariadb,reviews,0.6309,0.000631,1000
update,mariadb,users,0.7673,0.000767,1000
update,mariadb,products,78.9145,0.078915,1000
update,mariadb,products_by_id,0.5866,0.000587,1000
update,mariadb,orders,0.5341,0.000534,1000
update,mariadb,reviews,0.5543,0.000554,1000
complex,mariadb,popular_products,6.1178,6.117812,1
complex,mariadb,avg_product_rating,1.9657,1.965688,1
complex,mariadb,customer_spending,5.3285,5.328541,1
complex,mariadb,product_search,0.4169,0.416852,1
complex,mariadb,sales_dashboard,0.976,0.976046,1
complex,mariadb,product_recommendations,6.3984,6.398399,1
complex,mariadb,join_with_comments,4.3175,4.317451,1
delete,mariadb,reviews,0.4908,0.000982,500
delete,mariadb,order_items,0.4917,0.000983,500
delete,mariadb,orders,0.3294,0.000659,500
delete,mariadb,products,58.3879,0.116776,500
delete,mariadb,products_by_id,0.4256,0.000851,500
delete,mariadb,users,1.0446,0.002089,500
