operation,database,entity,total_time,avg_time,record_count
insert,mongolatest,users,2.4863,1.4e-05,180000
insert,mongolatest,products,3.7705,2.1e-05,180000
insert,mongolatest,orders,3.6155,2e-05,180000
insert,mongolatest,reviews,3.3165,1.8e-05,180000
read,mongolatest,users,0.853,0.000853,1000
read,mongolatest,products,4.404,0.004404,1000
read,mongolatest,products_by_id,0.8055,0.000806,1000
read,mongolatest,orders,0.8025,0.000803,1000
read,mongolatest,reviews,0.9213,0.000921,1000
update,mongolatest,users,0.8439,0.000844,1000
update,mongolatest,products,4.002,0.004002,1000
update,mongolatest,products_by_id,0.9009,0.000901,1000
update,mongolatest,orders,0.8808,0.000881,1000
update,mongolatest,reviews,0.8605,0.000861,1000
complex,mongolatest,popular_products,0.8394,0.839405,1
complex,mongolatest,avg_product_rating,0.5192,0.519213,1
complex,mongolatest,customer_spending,0.6331,0.633134,1
complex,mongolatest,product_search,0.0658,0.065779,1
complex,mongolatest,sales_dashboard,0.2224,0.222417,1
complex,mongolatest,product_recommendations,1.5855,1.585494,1
complex,mongolatest,join_with_comments,14.4937,14.493675,1
delete,mongolatest,users,0.4338,0.000868,500
delete,mongolatest,products,2.7448,0.00549,500
delete,mongolatest,products_by_id,0.4189,0.000838,500
delete,mongolatest,orders,0.4497,0.000899,500
delete,mongolatest,reviews,0.4256,0.000851,500
