operation,database,entity,total_time,avg_time,record_count
insert,postgresql,users,83.7053,0.000465,180000
insert,postgresql,products,81.0889,0.00045,180000
insert,postgresql,orders,85.4535,0.000475,180000
insert,postgresql,order_items,263.8253,0.000489,539441
insert,postgresql,reviews,90.8973,0.000505,180000
read,postgresql,users,0.515,0.000515,1000
read,postgresql,products,17.8972,0.017897,1000
read,postgresql,products_by_id,0.4999,0.0005,1000
read,postgresql,orders,11.9706,0.011971,1000
read,postgresql,reviews,14.775,0.014775,1000
update,postgresql,users,0.5762,0.000576,1000
update,postgresql,products,24.1449,0.024145,1000
update,postgresql,products_by_id,0.4906,0.000491,1000
update,postgresql,orders,0.508,0.000508,1000
update,postgresql,reviews,0.513,0.000513,1000
complex,postgresql,popular_products,0.7469,0.746875,1
complex,postgresql,avg_product_rating,0.1924,0.192445,1
complex,postgresql,customer_spending,0.4609,0.460947,1
complex,postgresql,product_search,0.0235,0.023539,1
complex,postgresql,sales_dashboard,0.0827,0.08271,1
complex,postgresql,product_recommendations,1.0953,1.095265,1
complex,postgresql,join_with_comments,0.1963,0.196321,1
delete,postgresql,reviews,0.2515,0.000503,500
delete,postgresql,order_items,17.7111,0.035422,500
delete,postgresql,orders,20.1255,0.040251,500
delete,postgresql,products_by_id,28.9704,0.057941,500
delete,postgresql,users,37.666,0.075332,500
