operation,database,entity,total_time,avg_time,record_count
insert,mariadb,users,1.2247,2e-05,60000
insert,mariadb,products,0.7235,1.2e-05,60000
insert,mariadb,orders,0.7481,1.2e-05,60000
insert,mariadb,order_items,2.6394,1.5e-05,180122
insert,mariadb,reviews,1.2652,2.1e-05,60000
read,mariadb,users,0.5929,0.000593,1000
read,mariadb,products,23.3815,0.023381,1000
read,mariadb,products_by_id,0.552,0.000552,1000
read,mariadb,orders,0.5795,0.00058,1000
read,mariadb,reviews,0.6085,0.000609,1000
update,mariadb,users,0.5481,0.000548,1000
update,mariadb,products,25.7723,0.025772,1000
update,mariadb,products_by_id,0.5271,0.000527,1000
update,mariadb,orders,0.5362,0.000536,1000
update,mariadb,reviews,0.5469,0.000547,1000
complex,mariadb,popular_products,0.9511,0.951109,1
complex,mariadb,avg_product_rating,0.2544,0.254364,1
complex,mariadb,customer_spending,0.6505,0.650539,1
complex,mariadb,product_search,0.0696,0.069609,1
complex,mariadb,sales_dashboard,0.1205,0.120544,1
complex,mariadb,product_recommendations,0.9947,0.994744,1
complex,mariadb,join_with_comments,0.7549,0.754949,1
delete,mariadb,reviews,0.2711,0.000542,500
delete,mariadb,order_items,0.2882,0.000576,500
delete,mariadb,orders,0.3291,0.000658,500
delete,mariadb,products,12.7208,0.025442,500
delete,mariadb,products_by_id,0.278,0.000556,500
delete,mariadb,users,0.3159,0.000632,500
