operation,database,entity,total_time,avg_time,record_count
insert,mongolatest,users,0.6342,1.1e-05,60000
insert,mongolatest,products,1.1833,2e-05,60000
insert,mongolatest,orders,1.0464,1.7e-05,60000
insert,mongolatest,reviews,1.0441,1.7e-05,60000
read,mongolatest,users,0.7631,0.000763,1000
read,mongolatest,products,1.6144,0.001614,1000
read,mongolatest,products_by_id,0.7601,0.00076,1000
read,mongolatest,orders,0.7431,0.000743,1000
read,mongolatest,reviews,0.7292,0.000729,1000
update,mongolatest,users,0.7845,0.000785,1000
update,mongolatest,products,1.8517,0.001852,1000
update,mongolatest,products_by_id,0.7374,0.000737,1000
update,mongolatest,orders,0.7747,0.000775,1000
update,mongolatest,reviews,0.757,0.000757,1000
complex,mongolatest,popular_products,0.2102,0.210234,1
complex,mongolatest,avg_product_rating,0.124,0.124006,1
complex,mongolatest,customer_spending,0.1877,0.187661,1
complex,mongolatest,product_search,0.0233,0.023298,1
complex,mongolatest,sales_dashboard,0.0754,0.075421,1
complex,mongolatest,product_recommendations,0.4609,0.46091,1
complex,mongolatest,join_with_comments,4.9223,4.922329,1
delete,mongolatest,users,0.4078,0.000816,500
delete,mongolatest,products,1.2085,0.002417,500
delete,mongolatest,products_by_id,0.4569,0.000914,500
delete,mongolatest,orders,0.4239,0.000848,500
delete,mongolatest,reviews,0.4154,0.000831,500
