operation,database,entity,total_time,avg_time,record_count
insert,mysql,users,1.911,3.2e-05,60000
insert,mysql,products,1.0371,1.7e-05,60000
insert,mysql,orders,1.1222,1.9e-05,60000
insert,mysql,order_items,3.8472,2.1e-05,180122
insert,mysql,reviews,1.7659,2.9e-05,60000
read,mysql,users,0.59,0.00059,1000
read,mysql,products,29.7955,0.029795,1000
read,mysql,products_by_id,0.5504,0.00055,1000
read,mysql,orders,0.6283,0.000628,1000
read,mysql,reviews,0.6513,0.000651,1000
update,mysql,users,0.7648,0.000765,1000
update,mysql,products,41.32,0.04132,1000
update,mysql,products_by_id,0.5766,0.000577,1000
update,mysql,orders,0.565,0.000565,1000
update,mysql,reviews,0.5712,0.000571,1000
complex,mysql,popular_products,0.2562,0.256236,1
complex,mysql,avg_product_rating,0.2022,0.202242,1
complex,mysql,customer_spending,0.6162,0.616248,1
complex,mysql,product_search,0.0645,0.064545,1
complex,mysql,sales_dashboard,0.1104,0.110367,1
complex,mysql,product_recommendations,1.5905,1.590466,1
complex,mysql,join_with_comments,0.4772,0.477179,1
delete,mysql,reviews,0.2816,0.000563,500
delete,mysql,order_items,0.3318,0.000664,500
delete,mysql,orders,0.345,0.00069,500
delete,mysql,products,19.9419,0.039884,500
delete,mysql,products_by_id,0.3024,0.000605,500
delete,mysql,users,0.3569,0.000714,500
