operation,database,entity,total_time,avg_time,record_count
insert,postgresql,users,29.5551,0.000493,60000
insert,postgresql,products,28.8041,0.00048,60000
insert,postgresql,orders,28.8202,0.00048,60000
insert,postgresql,order_items,90.334,0.000502,180122
insert,postgresql,reviews,30.5886,0.00051,60000
read,postgresql,users,0.489,0.000489,1000
read,postgresql,products,6.8288,0.006829,1000
read,postgresql,products_by_id,0.6289,0.000629,1000
read,postgresql,orders,5.6463,0.005646,1000
read,postgresql,reviews,5.9257,0.005926,1000
update,postgresql,users,0.5895,0.000589,1000
update,postgresql,products,8.8543,0.008854,1000
update,postgresql,products_by_id,0.5142,0.000514,1000
update,postgresql,orders,0.495,0.000495,1000
update,postgresql,reviews,0.5224,0.000522,1000
complex,postgresql,popular_products,0.1867,0.18667,1
complex,postgresql,avg_product_rating,0.1133,0.113317,1
complex,postgresql,customer_spending,0.2609,0.260886,1
complex,postgresql,product_search,0.0267,0.026692,1
complex,postgresql,sales_dashboard,0.0587,0.058659,1
complex,postgresql,product_recommendations,0.404,0.404041,1
complex,postgresql,join_with_comments,0.134,0.133983,1
delete,postgresql,reviews,0.2599,0.00052,500
delete,postgresql,order_items,6.0749,0.01215,500
delete,postgresql,orders,6.6967,0.013393,500
delete,postgresql,products,501.2527,1.002505,500
delete,postgresql,products_by_id,3.402,0.006804,500
delete,postgresql,users,9.4066,0.018813,500
